song,artist,decade,total_lines,unique_lines,total_words,unique_words,top_common_words,top_uncommon_words,neg,neu,pos,compound
just the way you are,billy joel,1970,25,24,208,196,"i,you,the,want,don't,to,that,just,mmmm,way","want,mmmm,way,never,i'll,times,take,someone,love,go",0.121,0.753,0.126,0.8781
new york state of mind,billy joel,1970,30,22,262,191,"the,a,i'm,in,and,new,of,i,to,york","i'm,new,york,mind,mmm,state,day,take,mm,taking",0.031,0.86,0.109,0.9643
piano man,billy joel,1970,25,19,372,294,"a,da,and,the,us,for,it's,in,me,de","da,us,de,sing,song,man,piano,well,dada,dede",0.057,0.759,0.185,0.9937
shes always a woman,billy joel,1970,42,34,244,197,"she,and,can,you,her,a,shes,to,but,the","shes,never,always,woman,she'll,ohhh,gives,wants,like,take",0.137,0.686,0.176,0.9306
vienna,billy joel,1970,42,31,279,222,"you,you're,the,when,so,for,that,can,get,but","get,realize,vienna,waits,know,slow,got,want,oooo,crazy",0.082,0.763,0.155,0.9671
paranoid,black sabbath,1970,13,13,136,136,"i,my,to,you,and,me,think,the,things,will","think,things,help,mind,find,life,can't,make,happiness,finished",0.165,0.634,0.201,0.8365
heart of glass,blondie,1970,25,17,215,148,"ooo,i,a,wo,had,and,it,was,the,love","ooo,wo,love,like,love's,soon,seemed,real,thing,find",0.11,0.614,0.276,0.9924
hurricane,bob dylan,1970,99,96,870,847,"the,a,and,to,in,he,of,they,that,you","one,man,time,could,like,said,cops,rubin,patty,never",0.125,0.752,0.123,-0.6585
one more cup of coffee,bob dylan,1970,32,26,200,160,"your,the,to,of,is,one,more,cup,coffee,and","one,cup,coffee,like,road,'fore,go,valley,voice,breath",0.021,0.776,0.203,0.9909
shelter from the storm,bob dylan,1970,40,32,434,346,"the,in,and,a,from,she,i'll,give,i,come","i'll,give,come,said,shelter,storm,ya,always,word,men",0.091,0.828,0.081,-0.7549
simple twist of fate,bob dylan,1970,28,25,289,277,"the,a,he,of,and,was,simple,twist,fate,she","simple,twist,fate,felt,lyrics,,harmonica,solo,along,born",0.099,0.846,0.056,-0.91
tangled up in blue,bob dylan,1970,91,85,594,570,"the,i,a,in,to,was,and,on,of,she","tangled,blue,like,never,know,one,said,still,lives,side",0.06,0.895,0.045,-0.7262
night moves,bob seger the silver bullet band,1970,44,42,353,339,"night,moves,the,i,remember,and,in,yeah,on,we","night,moves,remember,yeah,summertime,used,high,workin,workin',hmm",0.086,0.807,0.107,0.8244
turn the page,bob seger the silver bullet band,1970,34,26,313,259,"the,you,i,there,on,go,here,am,again,a","go,road,stage,playing,star,ah,turn,page,woman,always",0.039,0.881,0.08,0.9095
angel from montgomery,bonnie raitt,1970,25,16,249,159,"a,to,i,me,just,an,old,that,in,make","old,make,go,flies,believe,living,hard,way,angel,montgomery",0.063,0.894,0.043,-0.714
more than a feeling,boston,1970,22,13,159,87,"i,more,than,a,feeling,away,see,marianne,and,slipped","feeling,away,see,marianne,slipped,hear,old,song,used,play",0.015,0.802,0.183,0.9487
everything i own,bread,1970,32,24,204,150,"i,you,my,give,me,to,would,own,the,and","give,would,life,anything,heart,home,everything,back,kept,warm",0.029,0.882,0.088,0.8705
if,bread,1970,12,12,129,129,"you,the,a,and,if,then,to,one,i,all","one,thousand,words,come,could,go,i'd,world,would,picture",0.074,0.883,0.044,-0.4497
born to run,bruce springsteen,1970,28,28,331,331,"the,we,to,in,on,and,baby,i,out,a","baby,run,whoah,tramps,like,us,born,wendy,want,",0.115,0.726,0.159,0.9505
youre so vain,carly simon,1970,37,24,322,238,"you,you're,so,vain,think,this,song,is,about,don't","vain,think,song,prob'ly,ill,bet,clouds,coffee,one,well",0.155,0.739,0.105,-0.9761
its too late,carole king,1970,22,15,204,146,"and,too,late,i,it,just,can't,to,we,it's","late,can't,something,baby,though,really,try,make,inside,died",0.128,0.734,0.138,0.6643
so far away,carole king,1970,28,23,225,179,",so,a,way,to,far,you're,it,doesn't,my",",way,far,one,anybody,stay,place,would,fine,see",0.045,0.808,0.148,0.9699
will you love me tomorrow,carole king,1970,18,16,111,99,"love,you,the,will,me,your,tomorrow,tonight,of,is","love,tomorrow,tonight,still,night,mine,completely,give,sweetly,light",0.027,0.603,0.37,0.9954
youve got a friend,carole king,1970,31,24,281,212,"you,and,to,got,i,you've,a,friend,know,call","got,friend,know,call,good,name,ain't,wherever,come,running",0.065,0.754,0.18,0.9891
father and son,cat stevens,1970,22,19,248,220,"i,to,you,it's,a,know,have,but,not,and","know,go,there's,time,take,still,old,away,make,change",0.054,0.815,0.131,0.9628
morning has broken,cat stevens,1970,16,12,120,90,"the,praise,morning,for,first,like,has,from,of,broken","praise,morning,first,like,broken,blackbird,spoken,bird,singing,springing",0.037,0.58,0.382,0.995
wild world,cat stevens,1970,32,17,253,134,"la,a,you,baby,it's,lot,of,world,but,oh","la,baby,lot,world,oh,wild,wanna,remember,nice,girl",0.092,0.636,0.271,0.9963
if you leave me now,chicago,1970,21,13,204,130,"ooo,to,me,we,it,you,leave,away,the,no","ooo,leave,away,baby,please,go,love,could,oooo,take",0.101,0.758,0.141,0.9442
have you ever seen the rain,creedence clearwater revival,1970,27,15,147,90,"i,know,the,rain,wanna,have,you,ever,seen,a","know,rain,wanna,ever,seen,coming,sunny,day,time,someone",0.01,0.864,0.126,0.9381
i heard it through the grapevine,creedence clearwater revival,1970,22,15,261,182,"you,i,the,it,ooo,to,heard,through,grapevine,honey","ooo,heard,grapevine,honey,much,would,longer,mine,i'm,lose",0.082,0.827,0.091,0.3202
lookin out my back door,creedence clearwater revival,1970,20,12,169,102,"doo,the,door,a,on,lookin',out,my,back,","doo,door,lookin',back,,take,got,illinois,lock,front",0.095,0.827,0.078,-0.296
wholl stop the rain,creedence clearwater revival,1970,20,16,114,94,"the,i,wonder,rain,and,still,who'll,stop,down,pourin'","wonder,rain,still,who'll,stop,pourin',tryin',e3320033,long,remember",0.077,0.853,0.07,0.0772
helpless,crosby stills nash young,1970,17,12,100,75,"the,helpless,blue,on,across,there,a,in,with,to","helpless,blue,across,windows,behind,stars,yellow,moon,rise,big",0.161,0.798,0.04,-0.926
our house,crosby stills nash young,1970,28,23,153,124,"the,you,for,very,is,in,to,house,fire,and","house,fire,everything,la,i'll,light,place,flowers,vase,bought",0.079,0.798,0.123,0.8604
teach your children,crosby stills nash young,1970,22,17,158,118,"you,and,the,they,them,by,your,know,so,one","know,one,teach,well,hell,slowly,go,feed,dreams,picked's",0.102,0.735,0.163,0.7581
changes,david bowie,1970,52,31,257,189,"the,and,time,i,to,face,but,strange,a,me","time,face,strange,chchchchchanges,turn,chchchanges,change,man,may,can't",0.073,0.816,0.111,0.9468
heroes,david bowie,1970,21,19,148,140,"can,we,be,,i,heroes,the,and,for,nothing",",heroes,nothing,one,day,could,swim,like,dolphins,though",0.018,0.763,0.219,0.9856
life on mars,david bowie,1970,31,25,254,201,"the,to,a,is,her,in,on,it's,but,oh","oh,man,look,show,go,film,saddening,bore,ten,times",0.171,0.755,0.075,-0.9811
moonage daydream,david bowie,1970,26,14,199,109,"your,a,to,me,space,keep,my,on,love,i'm","space,keep,love,i'm,'lectric,eye,babe,put,ray,gun",0.108,0.727,0.165,0.9365
rock n roll suicide,david bowie,1970,26,24,220,207,"your,you're,you,the,no,wonderful,a,it,on,to","wonderful,oh,alone,,gimme,hands,cigarette,finger,wall,rock'n",0.233,0.644,0.123,-0.9825
starman,david bowie,1970,41,22,350,187,"la,the,it,let,children,he,to,a,in,us","la,let,children,us,starman,waiting,sky,he'd,blow,there's",0.038,0.887,0.074,0.8763
the man who sold the world,david bowie,1970,29,22,144,109,"i,the,face,we,and,who,long,his,a,not","face,long,never,lost,control,man,sold,world,spoke,died",0.133,0.791,0.076,-0.6636
ziggy stardust,david bowie,1970,33,33,174,174,"the,he,ziggy,played,and,we,were,to,his,guitar","ziggy,played,guitar,man,could,spiders,far,band,screwed,like",0.149,0.638,0.213,0.8955
smoke on the water,deep purple,1970,30,26,188,164,"the,we,on,smoke,water,out,to,with,a,and","smoke,water,place,fire,sky,make,time,burned,ground,running",0.17,0.784,0.046,-0.9805
soldier of fortune,deep purple,1970,36,25,186,135,"i,the,of,a,you,and,guess,i'll,always,be","guess,i'll,always,soldier,fortune,songs,sound,windmill,going,round",0.013,0.87,0.117,0.9473
sultans of swing,dire straits,1970,35,34,276,272,"the,and,you,he,in,sultans,a,of,to,they","sultans,south,time,he's,play,band,alright,hear,ring,go",0.038,0.856,0.106,0.9652
best of my love,eagles,1970,18,14,235,189,"the,you,my,i,and,best,of,love,we,in","best,love,sweet,give,ohohoh,ohhhh,darlin',get,see,every",0.037,0.61,0.353,0.9989
desperado,eagles,1970,23,22,205,197,"you,your,the,don't,to,and,desperado,come,it,why","desperado,come,senses,fences,oh,hard,know,things,queen,get",0.1,0.754,0.146,0.9363
hotel california,eagles,1970,38,36,341,324,"the,a,i,to,of,she,in,up,and,such","lovely,place,hotel,california,night,time,said,grew,heard,could",0.033,0.81,0.157,0.988
lyin eyes,eagles,1970,40,38,405,371,"she,to,a,your,and,the,eyes,no,you,","eyes,,lyin',ain't,way,hide,old,can't,night,hi",0.182,0.735,0.083,-0.9932
new kid in town,eagles,1970,40,32,275,231,",new,you,in,kid,there's,town,the,to,a",",new,kid,there's,town,oww,want,hear,ev'rybody's,lately",0.048,0.847,0.106,0.9621
peaceful easy feeling,eagles,1970,25,20,166,135,"i,you,a,and,the,cause,know,i'm,allllready,standing","cause,know,i'm,allllready,standing,feeling,got,peaceful,easy,let",0.0,0.745,0.255,0.9909
take it easy,eagles,1970,31,27,284,246,"oo,a,,to,take,it,oooo,i'm,my,well","oo,,take,oooo,i'm,well,easy,sy,may,runnin'",0.039,0.792,0.169,0.99
take it to the limit,eagles,1970,22,20,200,180,"the,to,and,it,a,me,you,take,limit,time","take,limit,time,spend,can't,,one,back,i've,turnin'",0.018,0.869,0.113,0.9721
tequila sunrise,eagles,1970,21,20,109,105,"another,the,it's,just,and,tequila,sunrise,he,a,on","another,tequila,sunrise,never,starin',slowly,'cross,sky,said,goodbye",0.042,0.854,0.104,0.8074
mr blue sky,electric light orchestra,1970,47,30,272,170,"you,mr,blue,the,sky,hey,to,so,there,where","mr,blue,sky,hey,see,please,tell,us,hide,away",0.064,0.802,0.134,0.9676
bennie and the jets,elton john,1970,24,17,161,112,"bennie,and,the,theyre,jets,you,but,oh,shes,a","bennie,theyre,jets,oh,shes,electric,say,candy,ronnie,seen",0.094,0.793,0.113,0.6518
candle in the wind,elton john,1970,49,26,295,158,"you,the,to,your,and,i,in,a,candle,was","candle,never,ever,set,burned,long,legend,goodbye,norma,jean",0.052,0.855,0.093,0.8885
crocodile rock,elton john,1970,24,12,310,164,"the,and,i,crocodile,a,when,rockin',rock,was,never","crocodile,rockin',rock,never,susie,nights,old,chevy,,got",0.054,0.898,0.048,-0.2449
daniel,elton john,1970,21,12,208,119,"the,daniel,i,oh,see,you,in,my,eyes,a","daniel,oh,see,eyes,spain,god,looks,like,must,clouds",0.081,0.828,0.091,0.2484
goodbye yellow brick road,elton john,1970,36,27,224,171,"the,you,to,back,my,your,i,me,a,ahahahah","back,ahahahah,ahahah,yellow,brick,road,going,old,can't,i'm",0.035,0.929,0.036,0.0258
rocket man,elton john,1970,35,18,289,134,"a,i,man,no,long,think,rocket,and,i'm,it's","man,long,think,rocket,i'm,gonna,time,til,touchdown,brings",0.163,0.837,0.0,-0.989
tiny dancer,elton john,1970,36,20,234,137,"the,in,me,you,a,of,tiny,dancer,she,on","tiny,dancer,man,hold,closer,count,headlights,highway,lay,sheets",0.068,0.868,0.064,-0.6199
your song,elton john,1970,30,22,269,200,"i,you,the,don't,but,in,is,it's,a,that","hope,mind,song,quite,put,words,wonderful,life,world,one",0.022,0.756,0.222,0.9962
always on my mind,elvis presley,1970,35,16,246,121,"i,you,as,were,always,on,my,mind,maybe,didnt","always,mind,maybe,didnt,lonely,quite,love,never,often,could",0.154,0.729,0.117,-0.6987
burning love,elvis presley,1970,28,20,196,159,"my,burning,i,me,a,love,hunka,higher,the,feel","burning,love,hunka,higher,feel,like,i'm,girl,kisses,lift",0.02,0.633,0.348,0.998
thats alright mama,elvis presley,1970,22,18,118,92,"that's,alright,mama,you,dee,anyway,do,well,now,for","that's,alright,mama,dee,anyway,well,deedee,done,told,i'm",0.012,0.645,0.344,0.9898
all by myself,eric carmen,1970,32,15,154,72,"all,by,myself,don't,wanna,anymore,i,be,was,and","wanna,anymore,live,love,young,never,needed,anyone,makin',fun",0.047,0.802,0.151,0.9627
cocaine,eric clapton,1970,30,13,100,62,"don't,cocaine,she,lie,you,to,want,if,on,out","cocaine,lie,want,got,get,day,ride,hang,take,ground",0.033,0.889,0.078,-0.0859
i shot the sheriff,eric clapton,1970,30,26,263,219,"i,the,shot,sheriff,but,deputy,it,shoot,say,did","shot,sheriff,deputy,shoot,say,day,swear,selfdefense,one,town",0.168,0.691,0.141,-0.8939
nobody knows you when youre down and out,eric clapton,1970,26,17,183,126,"you,and,nobody,knows,when,your,i,any,out,my","nobody,knows,friends,lost,get,good,pocket,one,penny,well",0.08,0.742,0.179,0.9616
wonderful tonight,eric clapton,1970,26,25,148,143,"i,and,the,to,you,wonderful,she,her,me,tonight","wonderful,tonight,say,feel,asks,look,alright,yes,go,see",0.018,0.696,0.285,0.9929
ooh la la,faces,1970,20,16,236,184,"i,you,was,know,when,wish,that,knew,what,now","know,wish,knew,la,younger,stronger,poor,man,they'll,love",0.069,0.708,0.223,0.9888
dreams,fleetwood mac,1970,28,16,186,125,"you,what,the,and,only,when,to,go,i,it's","go,lost,like,dreams,keep,loneliness,heartbeat,drives,mad,stillness",0.117,0.643,0.24,0.9783
go your own way,fleetwood mac,1970,20,10,177,86,"you,go,your,own,way,can,i,it,call,another","go,way,call,another,lonely,day,could,give,world,everything",0.057,0.921,0.022,-0.6249
landslide,fleetwood mac,1970,20,20,146,146,"the,my,i,down,it,and,in,you,love,a","love,around,reflection,snowcovered,hills,hmm,well,bring,took,climbed",0.0,0.862,0.138,0.962
rhiannon,fleetwood mac,1970,20,15,135,104,",the,you,a,taken,by,she,like,and,sky",",taken,like,sky,life,ever,win,night,love,never",0.053,0.672,0.275,0.9875
songbird,fleetwood mac,1970,20,14,125,95,"you,i,the,love,and,like,never,it's,know,before","love,like,never,know,feel,i'm,alright,right,i'll,world",0.056,0.628,0.316,0.9906
the chain,fleetwood mac,1970,20,13,113,68,"the,you,damn,love,never,break,chain,your,and,me","damn,love,never,break,chain,listen,wind,blow,run,shadows",0.151,0.674,0.175,0.8126
my sweet lord,george harrison,1970,58,40,299,213,"my,lord,hm,really,want,to,you,hallelujah,hare,sweet","lord,hm,really,want,hallelujah,hare,sweet,krishna,see,long",0.0,0.593,0.407,0.9995
brokedown palace,grateful dead,1970,28,25,241,212,"doo,my,the,do,to,roll,da,you,i,a","doo,roll,da,sing,river,sweet,fare,well,home,going",0.024,0.843,0.133,0.9792
friend of the devil,grateful dead,1970,35,16,367,171,"i,the,my,a,get,friend,of,in,but,devil","get,friend,devil,sleep,got,one,set,runnin',take,time",0.164,0.695,0.141,-0.919
ripple,grateful dead,1970,32,27,229,205,"da,the,you,if,is,your,there,to,it,be","da,would,lah,daah,la,e33,let,ripple,still,water",0.067,0.894,0.038,-0.5957
rich girl,hall oates,1970,44,21,377,191,"you,too,far,money,it,but,get,the,a,on","far,money,get,girl,know,say,'cause,rely,old,man's",0.07,0.783,0.146,0.9915
cats in the cradle,harry chapin,1970,50,38,437,337,"the,you,and,i,he,to,a,know,in,like","know,like,dad,we'll,said,i'm,boy,man,home,time",0.014,0.795,0.191,0.998
these days,jackson browne,1970,19,18,133,131,"i,these,days,to,well,that,the,and,a,had","days,well,seem,things,i've,walkin',much,talking,think,lot",0.07,0.78,0.15,0.8371
fire and rain,james taylor,1970,28,22,281,222,"i,i've,seen,you,thought,to,and,see,that,i'd","i've,seen,thought,see,i'd,time,end,fire,rain,sunny",0.105,0.793,0.102,0.2387
sweet baby james,james taylor,1970,28,23,231,200,"the,and,his,to,you,a,he,in,they,of","song,rockabye,sweet,baby,james,go,sing,works,maybe,goodnight",0.007,0.864,0.13,0.9854
me and bobby mcgee,janis joplin,1970,39,37,381,364,"bobby,la,da,daa,lo,my,lord,for,the,i","bobby,la,da,daa,lo,lord,good,yeah,hey,mcgee",0.027,0.807,0.166,0.9945
i got a name,jim croce,1970,31,20,236,166,"the,me,i've,got,a,down,movin',highway,and,like","i've,got,movin',highway,like,dream,name,rollin',ahead,life",0.038,0.8,0.161,0.9793
margaritaville,jimmy buffett,1970,19,17,208,184,"my,a,to,i,that,on,there's,but,of,in","there's,people,claim,woman,blame,know,fault,wastin',away,margaritaville",0.215,0.712,0.073,-0.9866
i love rock n roll,joan jett,1970,23,14,167,106,"i,me,so,an',the,love,rock,n',roll,he","an',love,rock,n',roll,take,put,another,dime,jukebox",0.027,0.762,0.211,0.9894
you are so beautiful,joe cocker,1970,18,5,60,18,"you,are,so,beautiful,to,me,you're,everything,i,can't","beautiful,everything,can't,see,hoped,need",0.0,0.577,0.423,0.99
imagine,john lennon,1970,26,20,127,94,"the,imagine,no,you,us,all,i'm,one,only,people","imagine,us,i'm,one,people,world,there's,living,may,say",0.154,0.668,0.178,0.6775
jealous guy,john lennon,1970,30,16,181,97,"i,you,to,i'm,was,didn't,hurt,just,a,jealous","i'm,hurt,jealous,guy,mean,sorry,made,cry,want,oh",0.334,0.553,0.113,-0.9893
working class hero,john lennon,1970,28,18,266,183,"you,to,a,be,,hero,is,working,class,something",",hero,working,class,something,follow,want,1,2,3",0.095,0.674,0.231,0.9911
carry on wayward son,kansas,1970,33,26,212,174,"i,a,the,on,you,my,to,carry,man,when","carry,man,hear,wayward,son,there'll,peace,done,lay,weary",0.121,0.706,0.173,0.9488
dust in the wind,kansas,1970,25,20,115,87,"the,in,dust,wind,all,we,a,is,my,and","dust,wind,eyes,close,moment,moment's,gone,dreams,pass,curiosity",0.028,0.955,0.017,-0.0772
i was made for lovin you,kiss,1970,38,23,249,151,"you,i,made,for,me,get,enough,lovin,baby,and","made,get,enough,lovin,baby,cant,oh,tonight,wanna,girl",0.009,0.971,0.02,0.3995
going to california,led zeppelin,1970,22,22,188,188,"a,the,my,and,to,in,never,as,of,with","never,hard,woman,seems,find,spent,days,unkind,smoked,stuff",0.064,0.837,0.098,0.3586
kashmir,led zeppelin,1970,24,24,262,262,"the,i,my,of,to,oh,when,ooh,and,no","oh,ooh,i'm,yeahyeah,fill,denyin',see,let,sun,face",0.034,0.831,0.135,0.9697
stairway to heaven,led zeppelin,1970,38,34,244,222,"and,a,the,to,all,she,theres,who,it,makes","theres,makes,wonder,lady,sure,gold,shes,buying,stairway,heaven",0.025,0.905,0.07,0.8321
blue bayou,linda ronstadt,1970,20,14,209,145,"blue,the,bayou,on,i,my,saving,to,where,be","blue,bayou,saving,i'm,come,mine,see,i'd,gonna,feel",0.041,0.811,0.148,0.9716
perfect day,lou reed,1970,31,19,161,89,"just,you,a,perfect,day,such,me,on,oh,i","perfect,day,oh,keep,hanging,going,reap,sow,later,home",0.036,0.733,0.23,0.9892
walk on the wild side,lou reed,1970,43,34,262,201,"the,a,on,hey,take,walk,wild,side,she,doo","hey,take,walk,wild,side,doo,said,babe,came,go",0.027,0.95,0.022,-0.0534
free bird,lynyrd skynyrd,1970,26,19,163,120,"change,i,you,bird,this,and,cannot,can't,lord,oh","change,bird,cannot,can't,lord,oh,cos,i'm,knows,",0.089,0.82,0.091,-0.1942
simple man,lynyrd skynyrd,1970,38,23,257,157,"you,and,be,oh,a,simple,man,son,kind,of","oh,simple,man,son,kind,baby,love,something,understand,find",0.011,0.822,0.167,0.9907
sweet home alabama,lynyrd skynyrd,1970,33,22,209,161,"home,sweet,alabama,the,to,you,i,so,blue,lord","home,sweet,alabama,blue,lord,i'm,skies,coming,well,ah",0.015,0.768,0.217,0.9915
tuesdays gone,lynyrd skynyrd,1970,22,14,147,105,"the,wind,gone,with,my,tuesday's,i'm,on,train,i","wind,gone,tuesday's,i'm,train,baby's,roll,away,leaving,woman",0.02,0.928,0.051,0.5674
love hurts,nazareth,1970,22,17,166,128,"love,hurts,a,ooh,i,it,know,lot,hoo,of","love,hurts,ooh,know,lot,hoo,true,learned,take,pain",0.264,0.396,0.341,0.9827
sweet caroline,neil diamond,1970,20,16,134,104,"i,touching,good,never,sweet,caroline,so,it,to,and","touching,good,never,sweet,caroline,times,seemed,believe,,spring",0.095,0.587,0.318,0.99
after the gold rush,neil young,1970,31,27,209,186,"the,a,in,i,was,there,and,sun,mother,flying","sun,mother,flying,hoping,silver,well,dreamed,saw,look,nature",0.032,0.836,0.133,0.9501
heart of gold,neil young,1970,20,13,137,99,"a,for,heart,of,gold,me,searching,i've,been,keep","heart,gold,searching,i've,keep,i'm,old,getting,e00000000,want",0.0,0.964,0.036,0.34
hey hey my my into the black,neil young,1970,23,13,117,82,"the,hey,my,e333,and,never,can,to,out,of","hey,e333,never,gone,rock,roll,die,there's,picture,meets",0.047,0.844,0.109,0.7958
my my hey hey out of the blue,neil young,1970,25,18,124,104,"the,my,hey,to,and,is,out,d33,it's,than","hey,d33,gone,d333,rock,roll,better,burn,blue,black",0.044,0.853,0.103,0.7886
old man,neil young,1970,24,21,178,142,"look,a,you,at,old,my,man,life,i'm,like","look,old,man,life,i'm,like,lot,much,alone,love",0.042,0.832,0.125,0.9238
the needle and the damage done,neil young,1970,12,12,88,88,"i,the,you,damage,done,my,love,some,ooh,and","damage,done,love,ooh,needle,man,gone,caught,knocking,cellar",0.092,0.81,0.098,0.3612
maybe im amazed,paul mccartney,1970,23,16,201,155,"i'm,the,maybe,you,me,a,way,oo,at,and","i'm,maybe,way,oo,baby,man,help,amazed,really,understand",0.038,0.802,0.161,0.979
me and julio down by the schoolyard,paul simon,1970,36,22,218,150,"the,and,i'm,my,me,of,down,on,to,i","i'm,seeing,julio,schoolyard,way,know,mama,law,time,papa",0.022,0.958,0.019,-0.1655
baby i love your way,peter frampton,1970,20,11,175,113,"your,i,love,the,and,way,wanna,you,day,night","love,way,wanna,day,night,ooh,baby,shine,hesitate,cause",0.0,0.669,0.331,0.9977
show me the way,peter frampton,1970,34,29,237,196,"i,to,you,day,the,want,me,show,way,and","day,want,show,way,oh,i'm,every,yeah,wonder,one",0.041,0.786,0.174,0.9779
solsbury hill,peter gabriel,1970,77,37,473,223,"i,to,boom,my,the,was,of,a,had,heart","boom,heart,going,things,come,take,home,said,see,still",0.052,0.872,0.076,0.9473
another brick in the wall part 2,pink floyd,1970,15,10,102,63,"in,all,no,the,we,don't,need,leave,kids,alone","need,leave,kids,alone,,nother,brick,wall,teacher,education",0.151,0.746,0.103,-0.312
brain damage,pink floyd,1970,23,21,176,160,"the,and,in,you,is,lunatic,on,if,my,head","lunatic,head,dark,grass,hall,paper,i'll,see,side,moon",0.089,0.877,0.034,-0.8074
breathe,pink floyd,1970,17,17,104,104,"you,and,the,don't,all,breathe,be,to,leave,your","breathe,leave,long,live,high,fly,run,dig,d7b9,x5454x",0.095,0.867,0.037,-0.5267
comfortably numb,pink floyd,1970,38,34,242,218,"i,you,a,is,the,there,on,just,hear,your","hear,pain,can't,child,become,comfortably,numb,feeling,show,receding",0.122,0.751,0.127,0.0745
echoes,pink floyd,1970,31,31,195,195,"and,the,noone,to,i,you,me,in,of,eyes","noone,eyes,upon,across,us,land,something,tries,overhead,albatross",0.0,0.888,0.112,0.9749
hey you,pink floyd,1970,22,22,177,177,"you,the,hey,me,out,can,there,in,help,don't","hey,help,would,wall,getting,feel,touch,cold,lonely,old",0.112,0.843,0.045,-0.8966
mother,pink floyd,1970,37,32,230,215,"you,mother,baby,mamas,gonna,ooooooooo,do,think,the,will","mother,baby,mamas,gonna,ooooooooo,think,baaabe,theyll,keep,let",0.038,0.83,0.132,0.9715
time,pink floyd,1970,25,25,236,236,"the,to,you,and,is,in,a,way,of,home","way,home,day,time,one,run,come,away,around,something",0.179,0.758,0.063,-0.9874
wish you were here,pink floyd,1970,0,0,0,0,,,0.0,0.0,0.0,0.0
39,queen,1970,31,24,248,196,"the,in,you,your,for,don't,hear,me,and,day","hear,day,many,though,years,away,year,call,calling,letters",0.048,0.849,0.104,0.9315
bohemian rhapsody,queen,1970,41,41,391,391,",me,go,a,you,let,no,to,just,the",",go,let,mama,really,i'm,poor,easy,nothing,matters",0.178,0.69,0.132,-0.9092
crazy little thing called love,queen,1970,25,17,192,133,"thing,called,love,i,it,a,this,get,little,my","thing,called,love,get,little,cool,take,crazy,like,can't",0.03,0.633,0.338,0.9971
dont stop me now,queen,1970,35,25,326,231,"a,im,me,dont,stop,good,time,having,the,of","im,dont,stop,good,time,wanna,,call,oh,yeah",0.04,0.726,0.235,0.9958
fat bottomed girls,queen,1970,31,28,267,237,"you,the,i,ah,me,fat,bottomed,girls,make,rockin'","ah,fat,bottomed,girls,make,rockin',world,go,round,hey",0.078,0.807,0.114,0.9277
good old fashioned lover boy,queen,1970,30,27,270,241,"you,boy,my,i,the,ooh,and,on,love,lover","boy,ooh,love,lover,hey,i'm,feel,what're,tonight,good",0.031,0.7,0.269,0.9977
killer queen,queen,1970,29,23,201,168,"a,to,in,she,and,she's,any,time,you,killer","time,killer,queen,gunpowder,gelatine,dynamite,laser,beam,guaranteed,blow",0.1,0.786,0.114,-0.2565
love of my life,queen,1970,19,17,151,138,"me,you,it,love,my,,back,of,life,don't","love,,back,life,bring,know,means,leave,can't,see",0.049,0.732,0.219,0.9884
